sampleId	species_name	species_initial	Experimental_condition	type	Line_origin	Research_Team	Set	latitude	longitude	altitude	continent	country_code	state_province_code	city	locale	collection_day	collection_month	collection_year	date	bio_rep	tech_rep	fruit_type	FR	RR
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_4.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_4/DP_B_O_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_5.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_5/DP_B_O_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_6.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_6/DP_B_O_6_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_7.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_7/DP_B_O_7_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_8.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_8	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_8/DP_B_O_8_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_9.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_9	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_9/DP_B_O_9_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_9/DP_B_O_9_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_10.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_10/DP_B_O_10_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_11.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_11/DP_B_O_11_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_12.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_12	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_12/DP_B_O_12_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_12/DP_B_O_12_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_13.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_13	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_13/DP_B_O_13_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_13/DP_B_O_13_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_14.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_14	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_14/DP_B_O_14_2.fq.gz
D_bas.wild.US-HI-Ola.27_1_2023.w.DP_B_O_15.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27_1_2023	DP_B_O_15	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_15/DP_B_O_15_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_15/DP_B_O_15_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_1.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_1/DP_S_T_1_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_1/DP_S_T_1_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_2.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_2/DP_S_T_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_2/DP_S_T_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_3.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_3/DP_S_T_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_3/DP_S_T_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_4.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_4/DP_S_T_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_4/DP_S_T_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_5.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_5/DP_S_T_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_5/DP_S_T_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_6.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_6/DP_S_T_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_6/DP_S_T_6_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_7.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_7/DP_S_T_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_7/DP_S_T_7_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_8.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_8	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_8/DP_S_T_8_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_8/DP_S_T_8_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_9.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_9	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_9/DP_S_T_9_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_9/DP_S_T_9_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_10.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_10/DP_S_T_10_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_10/DP_S_T_10_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_11.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_11/DP_S_T_11_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_11/DP_S_T_11_2.fq.gz
D_spr.wild.US-HI-Tom.27_1_2023.w.DP_S_T_12.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27_1_2023	DP_S_T_12	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_12/DP_S_T_12_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_12/DP_S_T_12_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.UA-HI-Tom.27_1_2023.w.DP_S_T_13.1	drosphila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	UA-HI	Tom's Trail	UA-HI-Tom	27	1	2023	27_1_2023	DP_S_T_13	1	Mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_T_13/DP_S_T_13_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_T_13/DP_S_T_13_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_1.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_1/DP_S_O_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_1/DP_S_O_1_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_2.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_2/DP_S_O_2_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_2/DP_S_O_2_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_3.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_3/DP_S_O_3_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_3/DP_S_O_3_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_4.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_4/DP_S_O_4_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_4/DP_S_O_4_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_5.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_5/DP_S_O_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_5/DP_S_O_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_6.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_6/DP_S_O_6_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_6/DP_S_O_6_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_7.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_7/DP_S_O_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_7/DP_S_O_7_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_8.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_8	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_8/DP_S_O_8_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_8/DP_S_O_8_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_9.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_9	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_9/DP_S_O_9_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_9/DP_S_O_9_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_10.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_10	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_10/DP_S_O_10_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_10/DP_S_O_10_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_11.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_11	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_11/DP_S_O_11_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_11/DP_S_O_11_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_12.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_12	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_12/DP_S_O_12_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_12/DP_S_O_12_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_spr.wild.US-HI-Ola.27_1_2023.w.DP_S_O_13.1	drosophila_sproati	spr	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa Forest	US-HI-Ola	27	1	2023	27_1_2023	DP_S_O_13	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_S_O_13/DP_S_O_13_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_S_O_13/DP_S_O_13_2.fq.gz
D_mel.heat_shock.US-KY-Lex.15_7_2019.exp.1_HS3-7.1	drosophila_melanogaster	mel	heat_shock	exp	experimental_evo	Teets	UKY_EE_set	38.040	84.5037	978	North_America	US	US-KY	Lexington	US-KY-Lex	15	7	2019	15_7_2019	1_HS3-7	1	banana_peach	/netfiles/thermofly/input_fastq.final/LU_1_CKDL230019812-1A_HCNVLDSX7_L3_1.fq.gz	/netfiles/thermofly/input_fastq.final/LU_1_CKDL230019812-1A_HCNVLDSX7_L3_2.fq.gz
D_mel.adult.US-KY-Lex.15_7_2019.exp.2_A2-9.1	drosophila_melanogaster	mel	adult	exp	experimental_evo	Teets	UKY_EE_set	38.040	84.5037	978	North_America	US	US-KY	Lexington	US-KY-Lex	15	7	2019	15_7_2019	2_A2-9	1	banana_peach	/netfiles/thermofly/input_fastq.final/LU_2_1.fq.gz	/netfiles/thermofly/input_fastq.final/LU_2_2.fq.gz
D_mel.control.US-KY-Lex.15_7_2019.exp.3_C1-10.1	drosophila_melanogaster	mel	control	exp	experimental_evo	Teets	UKY_EE_set	38.040	84.5037	978	North_America	US	US-KY	Lexington	US-KY-Lex	15	7	2019	15_7_2019	3_C1-10	1	banana_peach	/netfiles/thermofly/input_fastq.final/LU_3_CKDL230019812-1A_HCNVLDSX7_L3_1.fq.gz	/netfiles/thermofly/input_fastq.final/LU_3_CKDL230019812-1A_HCNVLDSX7_L3_2.fq.gz
